doc_uid,state,doc_id,source_path,renewal_type,notice_period,renewal_status,renewal_evidence,evaluation,evaluation_status,evaluation_evidence,baseline_keyword_renewal,baseline_keyword_eval
Alabama/Alabama_1,Alabama,Alabama_1,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_1.txt,absent,,absent,,absent,absent,,False,False
Alabama/Alabama_10,Alabama,Alabama_10,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_10.txt,uncertain,,uncertain,"1. Hotel Selection and Assignment - The host shall select a venue and hotel(s) suitable for hosting the annual event of the Alliance. || jurisdiction's business leaders' engagement within the Alliance, but also facilitates leader to leader interactions. The host jurisdiction will organize a special and exclusive program for the Governors, Premiers, and their designated Head…",present,found,"and Provincial Coordinators through the Steering Committee. V. STATE/PROVINCIAL ASSESSMENT In order to ensure that the annual event participation fee is as low as possible, an annual non- || 6. Post - Event Debrief Meeting i At the discretion of the upcoming host jurisdiction, a post-event meeting may be held with the Coordinators to discuss best practices and lessons learned from the previous annual event and to coordinate op…",True,True
Alabama/Alabama_2,Alabama,Alabama_2,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_2.txt,absent,,absent,,absent,absent,,False,False
Alabama/Alabama_3,Alabama,Alabama_3,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_3.txt,uncertain,,uncertain,"7. To promote the exchange of visits of company representatives, engineers, scientists and other specialists. This Memorandum of Intent shall enter into effect upon signature and shall remain in || This Memorandum of Intent shall enter into effect upon signature and shall remain in force for a period of three years or until such date as otherwise agreed upon. Signed in the city of Jerusalem, this 27 day of 0codep1997. FOR THE STATE O…",absent,absent,,True,False
Alabama/Alabama_4,Alabama,Alabama_4,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_4.txt,by_mutual_agreement,,found,"4, Sponsor and promote exchanges of visits by delegations and businessmen of the two states and extend cooperation and assistance to the visitors SO sponsored by the other state. 5. Additional items may be added to this document as mutuall… || 5. Additional items may be added to this document as mutually agreed upon by both parties. Signed for ADO Signed! for WFB",absent,absent,,True,False
Alabama/Alabama_5,Alabama,Alabama_5,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_5.txt,by_mutual_agreement,,found,"4. Both parties are free to form other partnerships, of a similar or identical nature, with other entities. 5. This Memorandum sets forth the complete agreement of the parties with regard to this || agreement by both parties. 3. Either party may terminate this Memorandum of Understanding, by informing the other, in writing, and giving a thirty (30) day notice of termination.",absent,absent,,True,False
Alabama/Alabama_6,Alabama,Alabama_6,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_6.txt,absent,,absent,,absent,absent,,False,False
Alabama/Alabama_7,Alabama,Alabama_7,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_7.txt,absent,,absent,,absent,absent,,False,False
Alabama/Alabama_8,Alabama,Alabama_8,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_8.txt,by_mutual_agreement,,found,"Chinese and English - both texts being equally authentic. This Memorandum will remain in effect for a period off five years from the date of signature, or until such a date || 6. Advanced agricultural technology 7. Tertiary industry, including financial services 8. Other areas where common interests are shared Term of Validity In witness hereof the undersigned, being authorized by their respective Governments, d…",absent,absent,,True,False
Alabama/Alabama_9,Alabama,Alabama_9,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_9.txt,absent,,absent,,absent,absent,,False,False
Alaska/Alaska_1,Alaska,Alaska_1,d:\NLP_Project_tasks_6_8_11\OCR_output\Alaska\Alaska_1.txt,automatic,,found,emergency periods. Mutual assistance in this arrangement may include the use of emergency forces' by mutual agreement among signatories. || notice in writing of such withdrawal to the governors or premiers of all other signatories. The action does not relieve the withdrawing signatory from obligations assumed under this,present,found,"practical, shall: A. Review individual signatory hazards analyses that are available and, to the extent reasonably possible, determine all those potential emergencies the || D. Assist in warning communities adjacent to or crossing signatory boundaries; E. Protect and ensure delivery of services, medicines, water, food, energy and",True,True
Alaska/Alaska_10,Alaska,Alaska_10,d:\NLP_Project_tasks_6_8_11\OCR_output\Alaska\Alaska_10.txt,by_mutual_agreement,,found,"participation in this Arrangement by giving sixty days written notice in advance of this effective date to all other Signatories. || those States to each other, and not the conflicting provisions of this arrangement. Amendments 6. This Arrangement and the Annex may be amended (and additional Annexes may",present,found,"management. To this end and from time to time as necessary, all Signatories shall: a) review and exchange their respective contact lists, warning and notification || MK-00023 ELARM - Sept. 30, 2008 PRR-2020-0119 h) The authority of any Signatory conducting an exercise will ensure that all",True,True
Alaska/Alaska_11,Alaska,Alaska_11,d:\NLP_Project_tasks_6_8_11\OCR_output\Alaska\Alaska_11.txt,by_mutual_agreement,,found,"REAFFIRMATION OF COOPERATION BETWEEN THE PROVINCE OF ALBERTA (""ALBERTA"") AND THE STATE OF ALASKA (""ALASKA"") Thel Province of Alberta and the State of Alaska (""the Participants"") recognize the mutual benefits of their collaboration and comm… || This Reaffirmation mayl be signed in counterparts, in which case the counterparts together shall constitute one fully-signed Reaffirmation.",absent,absent,,True,False
